ax,ay,az,gx,gy,gz,ts
0.632,-0.954,9.753,0.005,-0.04,-0.015,2817629
0.636,-0.963,9.762,0.004,-0.038,-0.014,2817938
0.605,-0.963,9.769,0.003,-0.028,-0.014,2818142
0.629,-0.967,9.794,0.002,-0.026,-0.013,2818346
0.639,-0.957,9.758,0.006,-0.042,-0.015,2818565
0.636,-0.958,9.757,0.005,-0.04,-0.015,2818761
0.307,-1.787,9.08,-0.21,-0.121,0.723,2818965
4.185,2.632,11.684,-0.441,-0.997,-0.359,2819368
5.932,-3.37,4.067,-1.885,-3.6,-1.085,2819680
9.922,-3.58,-1.358,-0.378,-0.536,-0.003,2819916
9.456,-2.804,-2.489,-0.15,-0.231,-0.142,2820092
7.669,-2.234,-2.002,0.804,0.575,-0.348,2820300
9.032,-5.373,0.715,-0.831,1.302,-0.796,2820508
11.482,0.707,7.129,-2.966,2.619,-1.056,2820714
6.864,-1.975,7.826,-0.627,1.306,-0.714,2820927
7.073,-1.254,8.584,0.194,0.377,-0.252,2821122
5.403,-1.681,7.894,-0.044,-0.063,0.032,2821431
5.688,-1.25,7.985,0.08,-0.042,0,2821628
