session_id,sample_idx,dt,imu0_ax,imu0_ay,imu0_az,imu0_gx,imu0_gy,imu0_gz,imu1_ax,imu1_ay,imu1_az,imu1_gx,imu1_gy,imu1_gz,ts
20260204170324,0,0,-0.059,-6.435,7.498,0.003,-0.039,-0.014,3.1,4.069,-7.937,0.001,-0.039,-0.003,67230
20260204170324,1,0.204,-0.055,-6.452,7.511,0.006,-0.038,-0.014,3.099,4.065,-7.911,0.001,-0.039,-0.003,67434
20260204170324,2,0.405,-0.069,-6.434,7.574,0.004,-0.038,-0.014,3.096,4.062,-7.864,0.001,-0.039,-0.002,67839
20260204170324,3,0.512,-0.074,-6.43,7.676,0.005,-0.04,-0.015,3.086,4.065,-7.863,0.002,-0.038,0.001,68351
20260204170324,4,0.618,-0.062,-6.44,7.598,0.004,-0.038,-0.013,3.096,4.065,-7.888,0.001,-0.04,-0.004,68969
20260204170324,5,0.316,-0.067,-6.444,7.583,0.004,-0.038,-0.013,3.09,4.069,-7.79,0.001,-0.038,0.002,69285
20260204170324,6,0.609,-0.068,-6.445,7.737,-0.271,-0.038,-0.01,2.865,4.409,-7.606,0.149,-0.143,-0.725,69894
20260204170324,7,0.446,-0.334,-6.361,7.574,0.069,-0.378,0.418,3.907,4.342,-7.114,0.33,1.611,1.029,70340
20260204170324,8,0.392,-0.056,-5.865,8.073,0.045,-0.04,-0.015,6.638,4.531,-5.018,0.021,0.668,0.13,70732
20260204170324,9,0.299,0.123,-5.804,8.051,-0.098,-0.015,-0.046,7.329,4.579,-3.824,0.015,0.175,0.111,71031
20260204170324,10,0.308,0.035,-5.876,7.974,-0.037,-0.062,0.03,7.601,4.656,-3.781,0.132,-0.189,0.033,71339
20260204170324,11,0.313,-0.053,-5.969,7.878,-0.011,-0.039,-0.014,6.501,3.796,-5.36,0.045,-0.596,-0.096,71652
20260204170324,12,0.507,-0.081,-6.169,7.814,-0.21,-0.038,-0.01,4.996,4.172,-8.006,0.066,0.239,-0.004,72159
20260204170324,13,0.333,0.059,-5.799,8.125,0.051,-0.114,-0.025,6.443,4.088,-4.851,0.015,0.914,0.276,72492
20260204170324,14,0.657,0.035,-6.007,8.124,0.254,-0.228,0.277,6.821,3.205,-4.027,0.578,-0.703,-0.058,73149
20260204170324,15,0.61,0.049,-5.687,8.246,0.334,0.042,-0.132,8.328,5.945,-14.614,-0.019,-2.151,-1.244,73759
20260204170324,16,0.362,0.011,-5.768,8.119,-0.23,0.124,-0.186,2.981,2.104,-8.759,-0.787,-0.479,0.457,74121
20260204170324,17,0.865,-2.209,-7.536,4.342,-0.998,0.551,-0.213,1.033,3.955,-8.377,-0.044,-0.516,0.224,74986
20260204170324,18,0.429,-1.393,-9.677,0.045,-0.79,-0.029,-0.411,-0.298,4.453,-7.948,-0.757,-0.186,0.532,75415
20260204170324,19,0.69,-0.029,-11.687,2.138,3.072,-0.686,-0.183,-0.166,4.321,-8.231,-0.357,1.344,1.051,76105
20260204170324,20,0.929,-0.727,-6.788,7.254,0.007,-0.068,-0.139,0.725,4.966,-7.915,0.006,-0.009,0.01,77034
20260204170324,21,0.412,-0.698,-6.759,7.31,0,-0.041,-0.016,0.753,4.981,-7.896,0,-0.034,-0.002,77446
20260204170324,22,0.706,-0.65,-6.767,7.262,0.003,-0.043,-0.023,0.785,4.97,-7.898,0.002,-0.034,0.006,78152
20260204170324,23,0.424,-0.614,-6.773,7.309,0.003,-0.041,-0.02,0.798,4.975,-7.874,0.002,-0.037,0.001,78576
20260204170324,24,5.71,-1.05,-7.138,6.766,0.005,-0.04,-0.017,0.33,5.789,-7.456,0.002,-0.038,-0.002,84286
