session_id,sample_idx,dt,imu0_ax,imu0_ay,imu0_az,imu0_gx,imu0_gy,imu0_gz,imu1_ax,imu1_ay,imu1_az,imu1_gx,imu1_gy,imu1_gz,ts
20260212_183758,0,0.0,-1.19,9.429,-1.528,-0.002,-0.056,-0.009,0.288,-10.004,0.084,0.007,-0.021,0.005,380417
20260212_183758,1,0.01,-1.241,9.406,-1.563,0.002,-0.067,-0.011,0.299,-10.022,0.061,0.006,-0.032,0.006,380427
20260212_183758,2,0.01,-1.237,9.412,-1.512,0.013,-0.074,-0.011,0.242,-10.022,0.08,0.009,-0.049,0.006,380437
20260212_183758,3,0.01,-1.262,9.385,-1.563,0.013,-0.056,-0.008,0.178,-10.045,0.06,0.01,-0.066,0.005,380447
20260212_183758,4,0.01,-1.272,9.424,-1.553,0.019,-0.035,-0.006,0.147,-10.02,0.036,0.014,-0.077,0.004,380457
20260212_183758,5,0.01,-1.25,9.45,-1.51,0.023,-0.065,-0.007,0.178,-10.015,0.043,0.013,-0.082,0.004,380467
20260212_183758,6,0.01,-1.187,9.458,-1.506,0.017,-0.098,-0.01,0.211,-10.013,0.078,0.015,-0.08,0.005,380477
20260212_183758,7,0.01,-1.133,9.398,-1.597,0.007,-0.098,-0.011,0.251,-10.045,0.066,0.018,-0.071,0.006,380487
20260212_183758,8,0.01,-1.218,9.443,-1.531,0.006,-0.064,-0.01,0.254,-10.059,0.098,0.02,-0.055,0.006,380497
20260212_183758,9,0.01,-1.212,9.454,-1.582,0.007,-0.043,-0.011,0.272,-10.04,0.129,0.024,-0.045,0.005,380507
20260212_183758,10,0.01,-1.241,9.471,-1.639,0.007,-0.057,-0.008,0.264,-10.024,0.14,0.027,-0.038,0.007,380517
20260212_183758,11,0.01,-1.242,9.392,-1.606,0.008,-0.046,-0.008,0.254,-10.034,0.147,0.027,-0.043,0.009,380527
20260212_183758,12,0.01,-1.273,9.381,-1.545,0.0,-0.026,-0.007,0.242,-10.092,0.136,0.025,-0.058,0.009,380537
20260212_183758,13,0.01,-1.284,9.429,-1.474,0.012,-0.055,-0.007,0.249,-10.08,0.146,0.02,-0.075,0.006,380547
20260212_183758,14,0.01,-1.208,9.436,-1.496,0.01,-0.087,-0.013,0.28,-10.027,0.144,0.018,-0.078,0.007,380557
20260212_183758,15,0.01,-1.171,9.434,-1.531,0.008,-0.065,-0.016,0.276,-10.019,0.127,0.021,-0.087,0.007,380567
20260212_183758,16,0.01,-1.232,9.389,-1.576,0.001,-0.025,-0.013,0.215,-10.031,0.084,0.015,-0.104,0.005,380577
20260212_183758,17,0.01,-1.286,9.434,-1.582,0.001,-0.014,-0.011,0.195,-10.047,0.078,0.009,-0.115,0.004,380587
20260212_183758,18,0.01,-1.3,9.443,-1.64,0.002,-0.028,-0.009,0.169,-10.065,0.073,0.011,-0.121,0.005,380597
20260212_183758,19,0.01,-1.316,9.437,-1.613,0.0,-0.026,-0.007,0.166,-10.061,0.069,0.007,-0.114,0.007,380607
20260212_183758,20,0.01,-1.322,9.407,-1.633,-0.011,-0.013,-0.008,0.166,-10.031,0.093,-0.003,-0.102,0.005,380617
20260212_183758,21,0.01,-1.373,9.38,-1.57,-0.016,-0.005,-0.01,0.127,-10.037,0.15,-0.003,-0.09,0.004,380627
20260212_183758,22,0.01,-1.389,9.318,-1.548,-0.0,-0.009,-0.009,0.091,-10.04,0.122,0.001,-0.08,0.002,380637
20260212_183758,23,0.01,-1.341,9.376,-1.558,0.018,-0.033,-0.009,0.048,-10.015,0.099,0.005,-0.082,0.001,380647
