session_id,sample_idx,dt,ax,ay,az,gx,gy,gz,ts
20260203171241,0,0,0.335,-1.982,9.623,0.005,-0.039,-0.014,3198421
20260203171241,1,0.409,0.339,-1.984,9.632,0.005,-0.039,-0.014,3198830
20260203171241,2,0.295,0.321,-1.997,9.616,0,-0.043,-0.013,3199125
20260203171241,3,0.314,0.339,-1.99,9.598,0.006,-0.04,-0.014,3199439
20260203171241,4,0.363,5.015,-2.398,7.134,-0.367,-3.338,-0.208,3199802
20260203171241,5,0.361,10.952,-2.612,1.226,0.105,-0.222,0.496,3200163
20260203171241,6,0.306,9.082,-1.943,0.567,-1.82,0.657,0.073,3200469
20260203171241,7,0.408,7.601,-3.861,1.675,-1.794,0.642,-1.284,3200877
20260203171241,8,0.408,8.905,-3.766,3.281,0.132,0.708,-0.29,3201285
20260203171241,9,0.62,6.629,-0.75,7.122,0.196,0.646,-0.017,3201905
20260203171241,10,0.396,4.86,-1.362,8.809,0.083,0.724,0.075,3202301
20260203171241,11,0.419,3.025,0.092,9.866,0.257,0.793,0.426,3202720
20260203171241,12,0.408,0.309,0.346,10.069,0.1,0.475,0.486,3203128
