frame,time,squat_id,state,phase,knee_angle,hip_angle,trunk_angle,knee_angle_imu_sync
18,0.6,,STANDING,,176.6818414616152,2.366326547536719,3.372929214064168,171.00840693964147
19,0.633,,STANDING,,176.6144571512453,2.319050738372693,3.34774100148935,171.61952522015116
20,0.667,,STANDING,,176.61336592555443,2.3046631159764104,3.337822254170165,172.3372747461814
21,0.7,,STANDING,,176.66352834761383,2.3141001353825192,3.336541421887707,172.87832322700018
22,0.734,,STANDING,,176.75665386144243,2.328098863311838,3.3284145676704058,173.27795604195484
23,0.767,,STANDING,,176.92542755694734,2.3728814764005293,3.323452064786514,173.7760815338536
24,0.8,,STANDING,,177.10946774252818,2.425279948534133,3.3211488920491625,174.65091486514441
25,0.834,,STANDING,,177.3445706770621,2.4966555705726274,3.320174515310032,175.82706130305542
26,0.867,,STANDING,,177.57653587438423,2.569234412373653,3.320160890928436,176.8186790269297
27,0.9,,STANDING,,177.74534719217831,2.6206944360402917,3.2970474998913675,177.3016816113779
28,0.934,,STANDING,,177.9940715143794,2.6965195938615296,3.270863300015094,177.30848551976933
29,0.967,,STANDING,,178.21094998662903,2.7520497788066764,3.2356586561816143,177.23564911335228
30,1.001,,STANDING,,178.42781333433604,2.791917316693013,3.170959383227166,177.44960852860666
31,1.034,,STANDING,,178.66246999213004,2.8358464542137463,3.1069178025407966,177.94519466364056
32,1.067,,STANDING,,178.91104095807887,2.889334258403374,3.0677246688334816,178.4199123987791
33,1.101,,STANDING,,179.14405825173742,2.937740810881305,3.024395405870856,178.74047666587543
34,1.134,,STANDING,,179.4161685648712,3.003903546292806,2.982868813256451,179.14753452188728
35,1.167,,STANDING,,179.5950305828855,3.0294579768422425,2.945242933273416,179.42734042353828
36,1.201,,STANDING,,179.71598211727493,3.0421564933927834,2.901993480442348,179.6685868063028
37,1.234,,STANDING,,179.83907663927155,3.0687910128615936,2.8651793266837644,179.90255708448012
38,1.267,,STANDING,,179.81210261258929,3.039846558383247,2.8279543551643864,179.88524891602165
