session_id,sample_idx,dt,imu0_ax,imu0_ay,imu0_az,imu0_gx,imu0_gy,imu0_gz,imu1_ax,imu1_ay,imu1_az,imu1_gx,imu1_gy,imu1_gz,ts
20260211211958,0,0,-0.599,9.444,-1.74,0.008,-0.054,-0.025,1.196,-9.965,0.58,0.009,-0.068,-0.004,227764
20260211211958,1,0.225,-0.623,9.459,-1.697,0.006,-0.057,-0.012,1.137,-9.963,0.671,0.003,-0.039,0.006,227989
20260211211958,2,0.184,-0.676,9.436,-1.761,0.006,-0.033,-0.023,1.153,-9.994,0.664,0.005,-0.005,0.015,228173
20260211211958,3,0.219,-0.616,9.435,-1.773,0,-0.04,-0.017,1.133,-10.013,0.745,0.005,-0.017,0.006,228392
20260211211958,4,0.191,-0.717,9.43,-1.694,0.003,-0.074,-0.02,1.097,-9.977,0.719,-0.001,-0.003,0.004,228583
20260211211958,5,0.411,-0.729,9.466,-1.491,-0.006,-0.065,-0.011,1.024,-9.991,0.607,-0.008,-0.007,0.004,228994
20260211211958,6,0.167,-0.532,9.489,-1.567,-0.003,-0.066,0.034,1.111,-9.977,0.652,-0.002,-0.043,0.028,229161
20260211211958,7,0.153,-0.617,9.537,-1.46,0.004,-0.039,-0.036,0.887,-10.007,0.573,0.005,-0.056,0.005,229314
20260211211958,8,0.195,-0.641,9.491,-1.512,0.008,-0.053,-0.026,0.934,-9.973,0.638,-0.005,-0.035,-0.014,229509
20260211211958,9,0.667,-0.568,9.462,-1.615,0,-0.035,-0.017,1.131,-10.006,0.682,0.007,-0.034,-0.002,230176
20260211211958,10,0.327,-0.514,9.476,-1.64,0.006,-0.038,-0.016,1.283,-10.003,0.745,0.004,-0.044,-0.006,230503
20260211211958,11,0.299,-0.517,9.458,-1.545,-0.003,0.001,-0.021,1.116,-9.971,0.724,0.004,-0.033,-0.005,230802
20260211211958,12,0.299,-0.561,9.468,-1.596,0.003,-0.046,0.002,1.006,-9.996,0.717,0.008,-0.018,-0.002,231101
20260211211958,13,0.31,-0.499,9.452,-1.595,0.01,-0.066,-0.008,1.188,-9.946,0.76,0.004,-0.024,-0.006,231411
20260211211958,14,0.309,-0.628,9.429,-1.691,0.008,-0.018,-0.014,1.172,-9.96,0.785,-0.002,0.011,0.001,231720
20260211211958,15,0.304,-0.492,9.464,-1.639,0.003,-0.004,-0.023,1.139,-9.971,0.739,0.007,-0.031,0.011,232024
20260211211958,16,0.41,-0.529,9.471,-1.608,-0.001,-0.032,-0.011,1.082,-9.952,0.745,0.008,-0.038,0.004,232434
20260211211958,17,0.3,-0.62,9.46,-1.57,0.008,-0.061,0.002,0.983,-9.948,0.786,0.003,-0.059,-0.009,232734
20260211211958,18,0.418,-0.51,9.447,-1.507,-0.005,-0.031,-0.002,1.188,-9.964,0.729,-0.012,-0.039,-0.025,233152
20260211211958,19,0.301,-0.456,9.489,-1.673,-0.002,0.002,-0.028,1.211,-9.96,0.706,-0.007,-0.024,-0.006,233453
20260211211958,20,0.314,-0.526,9.442,-1.646,0,-0.017,-0.024,1.26,-9.978,0.76,0.003,-0.034,0.007,233767
20260211211958,21,0.614,-0.482,9.464,-1.665,-0.002,-0.029,-0.012,1.268,-9.971,0.659,-0.004,-0.029,-0.003,234381
20260211211958,22,0.309,-0.48,9.452,-1.551,0.004,0.007,-0.026,1.198,-9.972,0.681,-0.002,-0.073,0.006,234690
20260211211958,23,0.305,-0.45,9.49,-1.592,-0.005,-0.018,-0.024,1.241,-9.952,0.695,-0.014,-0.062,-0.007,234995
20260211211958,24,0.307,-0.564,9.459,-1.54,-0.005,-0.033,0.002,1.157,-9.963,0.639,-0.016,-0.023,-0.003,235302
20260211211958,25,0.307,-0.479,9.444,-1.531,0,-0.038,-0.009,1.216,-9.96,0.652,-0.004,-0.03,-0.002,235609
20260211211958,26,0.308,-0.456,9.455,-1.608,0.001,-0.041,-0.002,1.217,-9.964,0.694,-0.01,-0.023,-0.01,235917
20260211211958,27,0.306,-0.456,9.472,-1.513,0.005,-0.037,-0.016,1.181,-9.957,0.646,-0.002,-0.039,-0.002,236223
20260211211958,28,0.308,-0.421,9.474,-1.616,0.008,-0.048,-0.02,1.21,-9.943,0.695,0.006,-0.031,0.003,236531
20260211211958,29,0.309,-0.493,9.46,-1.62,0.014,-0.047,-0.008,1.175,-9.961,0.698,0.01,-0.015,0.005,236840
