session_id,sample_idx,dt,imu0_ax,imu0_ay,imu0_az,imu0_gx,imu0_gy,imu0_gz,imu1_ax,imu1_ay,imu1_az,imu1_gx,imu1_gy,imu1_gz,ts
20260218_175550,0,0.0,0.39,-7.79,-5.452,0.041,-0.724,-0.389,-1.338,10.073,0.365,-0.148,0.346,0.034,466057
20260218_175550,1,0.01,0.13,-7.805,-5.956,-0.07,-0.728,-0.371,-1.204,10.049,-0.214,-0.134,0.402,0.036,466067
20260218_175550,2,0.01,-0.078,-7.874,-6.244,-0.121,-0.595,-0.297,-0.72,9.906,-0.343,-0.097,0.42,0.044,466077
20260218_175550,3,0.01,-0.167,-7.786,-6.13,-0.086,-0.385,-0.199,-0.035,9.711,-0.589,-0.055,0.327,0.052,466087
20260218_175550,4,0.01,-0.193,-7.661,-6.141,-0.043,-0.147,-0.1,0.268,9.666,-0.865,-0.017,0.155,0.065,466097
20260218_175550,5,0.01,-0.096,-7.749,-5.775,-0.052,0.095,0.011,-0.069,9.486,-0.919,0.013,-0.069,0.08,466107
20260218_175550,6,0.01,-0.068,-8.049,-5.579,-0.077,0.239,0.084,-0.726,9.549,-0.912,-0.011,-0.228,0.103,466117
20260218_175550,7,0.01,0.208,-8.256,-5.099,-0.076,0.243,0.114,-1.265,9.649,-0.895,-0.034,-0.275,0.122,466127
20260218_175550,8,0.01,0.507,-8.53,-4.927,-0.143,0.329,0.195,-1.371,9.778,-0.802,-0.064,-0.226,0.133,466137
20260218_175550,9,0.01,-0.444,-8.88,-4.853,-0.153,0.393,0.234,-1.17,9.831,-0.743,-0.074,-0.14,0.144,466147
20260218_175550,10,0.01,-0.194,-8.619,-4.721,-0.037,-0.122,0.053,-0.708,9.876,-0.528,-0.072,0.004,0.159,466157
20260218_175550,11,0.01,0.056,-8.56,-4.928,-0.043,-0.461,-0.038,-0.181,9.855,-0.424,-0.06,0.099,0.169,466167
20260218_175550,12,0.01,-0.026,-8.591,-5.091,-0.034,-0.436,-0.015,0.111,9.972,-0.397,-0.084,0.105,0.171,466177
20260218_175550,13,0.01,-0.067,-8.499,-5.174,-0.006,-0.376,0.009,0.183,10.008,-0.275,-0.035,0.058,0.177,466187
20260218_175550,14,0.01,0.126,-8.27,-5.722,0.009,-0.429,-0.011,0.066,9.765,-0.39,0.058,0.051,0.193,466197
20260218_175550,15,0.01,0.564,-7.577,-5.931,-0.0,-0.515,-0.045,0.093,9.659,-0.41,0.061,0.072,0.208,466207
20260218_175550,16,0.01,0.914,-7.448,-6.128,0.016,-0.489,-0.04,0.096,9.769,-0.461,0.02,0.022,0.214,466217
20260218_175550,17,0.01,0.633,-7.585,-6.28,-0.021,-0.348,0.03,-0.193,9.845,0.19,0.0,-0.147,0.216,466227
20260218_175550,18,0.01,0.437,-7.663,-6.063,-0.07,-0.14,0.261,-0.729,9.815,0.011,-0.018,-0.276,0.221,466237
20260218_175550,19,0.01,-0.036,-8.06,-5.645,-0.096,0.453,0.41,-1.273,10.074,-0.061,-0.056,-0.248,0.22,466247
20260218_175550,20,0.01,-0.431,-8.343,-5.346,-0.169,0.669,0.491,-1.564,10.095,0.31,-0.015,-0.244,0.201,466257
20260218_175550,21,0.01,-0.909,-8.514,-5.232,-0.154,0.684,0.49,-1.122,9.892,0.446,0.056,-0.221,0.185,466267
20260218_175550,22,0.01,-1.086,-8.768,-5.216,-0.124,0.48,0.389,-0.202,9.881,0.313,0.033,-0.079,0.156,466277
20260218_175550,23,0.01,-1.107,-8.765,-5.098,-0.089,0.267,0.274,0.396,9.89,-0.318,0.0,-0.011,0.14,466287
20260218_175550,24,0.01,-1.25,-8.719,-4.939,-0.081,0.106,0.177,0.395,9.669,-0.202,-0.002,-0.114,0.139,466297
20260218_175550,25,0.01,-1.226,-8.813,-4.819,-0.044,-0.107,0.064,0.22,9.543,-0.194,0.0,-0.22,0.147,466307
20260218_175550,26,0.01,-1.016,-8.838,-4.583,-0.004,-0.253,-0.027,0.185,9.614,-0.333,-0.037,-0.13,0.142,466317
20260218_175550,27,0.01,-0.75,-8.929,-4.436,-0.002,-0.355,-0.089,0.261,9.82,-0.441,-0.072,0.052,0.133,466327
20260218_175550,28,0.01,-0.406,-8.966,-4.526,-0.005,-0.521,-0.171,0.282,9.869,-0.383,-0.056,0.179,0.111,466337
20260218_175550,29,0.01,0.061,-8.839,-4.653,0.015,-0.709,-0.265,0.416,9.868,-0.301,-0.016,0.299,0.095,466347
20260218_175550,30,0.01,0.443,-8.715,-5.088,0.047,-0.803,-0.325,0.567,9.835,-0.306,0.022,0.392,0.086,466357
20260218_175550,31,0.01,0.534,-8.564,-5.347,0.099,-0.772,-0.344,0.657,9.782,-0.303,0.044,0.443,0.084,466367
20260218_175550,32,0.01,0.817,-8.374,-5.338,0.152,-0.705,-0.328,0.677,9.82,-0.447,0.058,0.443,0.075,466377
20260218_175550,33,0.01,0.988,-8.265,-5.398,0.122,-0.553,-0.261,0.605,9.829,-0.422,0.076,0.44,0.055,466387
20260218_175550,34,0.01,1.042,-8.15,-5.505,0.117,-0.423,-0.212,0.577,9.738,-0.364,0.089,0.428,0.039,466397
20260218_175550,35,0.01,1.135,-7.936,-5.555,0.118,-0.39,-0.201,0.622,9.665,-0.246,0.079,0.389,0.03,466407
20260218_175550,36,0.01,1.327,-7.931,-5.582,0.073,-0.383,-0.18,0.657,9.637,-0.061,0.051,0.334,0.019,466417
