session_id,sample_idx,dt,imu0_ax,imu0_ay,imu0_az,imu0_gx,imu0_gy,imu0_gz,imu1_ax,imu1_ay,imu1_az,imu1_gx,imu1_gy,imu1_gz,ts
20260218_195716,0,0.0,1.926,-8.56,-4.27,-0.0,0.02,0.035,0.553,9.778,-0.206,-0.014,-0.017,-0.056,143079
20260218_195716,1,0.01,1.797,-8.59,-4.365,-0.003,0.049,0.045,0.379,9.894,-0.118,-0.014,-0.064,-0.064,143089
20260218_195716,2,0.01,1.851,-8.69,-4.216,0.017,0.036,0.042,0.221,9.826,-0.287,0.011,-0.138,-0.065,143099
20260218_195716,3,0.01,1.814,-8.627,-4.116,-0.003,0.026,0.048,0.229,9.751,-0.243,0.026,-0.186,-0.061,143109
20260218_195716,4,0.01,2.006,-8.736,-4.135,-0.02,-0.008,0.047,0.256,9.714,-0.351,0.026,-0.195,-0.058,143119
20260218_195716,5,0.01,2.057,-8.766,-4.069,-0.013,-0.007,0.067,0.341,9.72,-0.317,0.017,-0.177,-0.057,143129
20260218_195716,6,0.01,2.043,-8.82,-3.965,-0.024,-0.002,0.089,0.406,9.827,-0.346,-0.001,-0.147,-0.059,143139
20260218_195716,7,0.01,1.994,-8.887,-4.0,-0.032,-0.003,0.106,0.444,9.801,-0.446,-0.011,-0.104,-0.061,143149
20260218_195716,8,0.01,1.89,-8.972,-4.053,-0.023,-0.004,0.114,0.383,9.741,-0.39,-0.014,-0.088,-0.055,143159
20260218_195716,9,0.01,1.756,-8.975,-4.057,-0.009,0.01,0.114,0.219,9.764,-0.328,-0.029,-0.086,-0.054,143169
20260218_195716,10,0.01,1.613,-8.919,-4.117,-0.014,0.036,0.114,0.03,9.773,-0.165,-0.027,-0.086,-0.053,143179
20260218_195716,11,0.01,1.499,-8.773,-4.089,-0.012,0.047,0.107,-0.01,9.82,-0.154,-0.029,-0.068,-0.049,143189
20260218_195716,12,0.01,1.417,-8.711,-4.065,-0.031,0.009,0.093,0.005,9.846,-0.095,-0.035,-0.052,-0.042,143199
20260218_195716,13,0.01,1.43,-8.643,-4.132,-0.052,-0.081,0.075,-0.011,9.692,-0.128,-0.02,-0.081,-0.028,143209
20260218_195716,14,0.01,1.525,-8.602,-4.202,-0.054,-0.165,0.069,0.037,9.618,-0.148,-0.021,-0.108,-0.013,143219
20260218_195716,15,0.01,1.568,-8.626,-4.178,-0.056,-0.184,0.096,0.209,9.675,-0.215,-0.033,-0.105,-0.012,143229
20260218_195716,16,0.01,1.492,-8.795,-4.204,-0.046,-0.145,0.142,0.312,9.696,-0.251,-0.037,-0.121,-0.009,143239
20260218_195716,17,0.01,1.512,-9.001,-4.12,-0.048,-0.087,0.227,0.114,9.819,-0.229,-0.049,-0.201,-0.005,143249
20260218_195716,18,0.01,1.505,-9.014,-4.193,-0.039,0.035,0.256,-0.286,9.764,-0.296,-0.043,-0.286,0.004,143259
20260218_195716,19,0.01,1.49,-8.952,-4.257,-0.04,0.069,0.271,-0.453,9.703,-0.279,-0.029,-0.312,0.021,143269
20260218_195716,20,0.01,1.456,-8.869,-4.309,-0.051,0.044,0.265,-0.272,9.794,-0.245,-0.031,-0.264,0.038,143279
20260218_195716,21,0.01,1.351,-8.834,-4.356,-0.068,-0.006,0.254,-0.081,9.864,-0.11,-0.033,-0.232,0.051,143289
