frame,time,squat_id,state,phase,knee_angle,hip_angle,trunk_angle,dtheta,phase_new,phase_percent_new
1,0.033,,STANDING,,177.90493422783248,0.7421782220801856,0.5462815360510551,0.0,,
2,0.066,,STANDING,,177.9205009871559,0.6230102273404221,0.3681058046137455,0.4670027797021703,STABLE,
3,0.1,,STANDING,,178.15467096647558,0.471446214736297,0.2758057707757108,7.0250993795906425,ASCENT,
4,0.133,,STANDING,,178.35132126568726,0.3582147409257836,0.2787330801317514,5.899508976350489,ASCENT,
5,0.166,,STANDING,,178.4488379637708,0.3164970853646093,0.329703864380613,2.9255009425065737,STABLE,
6,0.2,,STANDING,,178.6750030805994,0.2819322133862437,0.4031832751823875,6.784953504857469,ASCENT,
7,0.233,,STANDING,,178.7602510606212,0.2884831667882713,0.5797257751235027,2.5574394006537204,STABLE,
8,0.266,,STANDING,,178.6247137388436,0.4581761544212648,0.8976285819392045,-4.066119653327291,STABLE,
9,0.3,,STANDING,,178.32907248141092,0.712098421132118,1.261625007369908,-8.869237722980756,DESCENT,
10,0.333,,STANDING,,178.05503130665406,1.0200082842217533,1.6529834838933373,-8.221235242705802,DESCENT,
11,0.367,,STANDING,,177.75827598743086,1.3317750427924229,2.049666840096298,-8.90265957669584,DESCENT,
12,0.4,,STANDING,,177.37156086655804,1.599929546150015,2.429529911282033,-11.60145362618465,DESCENT,
13,0.433,,STANDING,,177.12129490737,1.8367470396833336,2.736185405185215,-7.507978775641675,DESCENT,
14,0.467,,STANDING,,177.0173860734547,2.082634401024195,3.003046452646273,-3.1172650174585215,STABLE,
15,0.5,,STANDING,,176.87357118532103,2.226655268666612,3.184093984492,-4.314446644010275,STABLE,
16,0.533,,STANDING,,176.67693118622762,2.262587029104682,3.274373345897447,-5.899199972802194,DESCENT,
17,0.567,,STANDING,,176.7006885670369,2.346999329474042,3.348898712122144,0.712721424278584,BOTTOM,
18,0.6,,STANDING,,176.6818414616152,2.366326547536719,3.372929214064168,-0.5654131626513959,STABLE,
19,0.633,,STANDING,,176.6144571512453,2.319050738372693,3.34774100148935,-2.0215293110970833,STABLE,
20,0.667,,STANDING,,176.61336592555443,2.3046631159764104,3.337822254170165,-0.032736770725705355,STABLE,
21,0.7,,STANDING,,176.66352834761383,2.3141001353825192,3.336541421887707,1.5048726617820307,BOTTOM,
22,0.734,,STANDING,,176.75665386144243,2.328098863311838,3.3284145676704058,2.793765414857887,STABLE,
23,0.767,,STANDING,,176.92542755694734,2.3728814764005293,3.323452064786514,5.063210865147312,ASCENT,
24,0.8,,STANDING,,177.10946774252818,2.425279948534133,3.3211488920491625,5.521205567425227,ASCENT,
25,0.834,,STANDING,,177.3445706770621,2.4966555705726274,3.320174515310032,7.053088036017812,ASCENT,
26,0.867,,STANDING,,177.57653587438423,2.569234412373653,3.320160890928436,6.958955919663765,ASCENT,
27,0.9,,STANDING,,177.74534719217831,2.6206944360402917,3.2970474998913675,5.0643395338224195,ASCENT,
28,0.934,,STANDING,,177.9940715143794,2.6965195938615296,3.270863300015094,7.461729666032966,ASCENT,
29,0.967,,STANDING,,178.21094998662903,2.7520497788066764,3.2356586561816143,6.506354167488553,ASCENT,
30,1.001,,STANDING,,178.42781333433604,2.791917316693013,3.170959383227166,6.5059004312101365,ASCENT,
31,1.034,,STANDING,,178.66246999213004,2.8358464542137463,3.1069178025407966,7.039699733820157,ASCENT,
32,1.067,,STANDING,,178.91104095807887,2.889334258403374,3.0677246688334816,7.45712897846488,ASCENT,
33,1.101,,STANDING,,179.14405825173742,2.937740810881305,3.024395405870856,6.990518809756452,ASCENT,
34,1.134,,STANDING,,179.4161685648712,3.003903546292806,2.982868813256451,8.163309394013822,ASCENT,
35,1.167,,STANDING,,179.5950305828855,3.0294579768422425,2.945242933273416,5.365860540428571,ASCENT,
36,1.201,,STANDING,,179.71598211727493,3.0421564933927834,2.901993480442348,3.6285460316830154,STABLE,
37,1.234,,STANDING,,179.83907663927155,3.0687910128615936,2.8651793266837644,3.6928356598986056,STABLE,
38,1.267,,STANDING,,179.81210261258929,3.039846558383247,2.8279543551643864,-0.8092208004680401,STABLE,
39,1.301,,STANDING,,179.74861837930638,3.002238115264011,2.8008603272387296,-1.9045269984871993,STABLE,
40,1.334,,STANDING,,179.6642895620543,2.985748704114393,2.801585439441708,-2.529864517562146,STABLE,
41,1.368,,STANDING,,179.59870618335745,2.967804240225631,2.806438193732323,-1.9675013609057146,STABLE,
42,1.401,,STANDING,,179.5430774692498,2.9482132055068657,2.815809576562882,-1.6688614232296572,STABLE,
43,1.434,,STANDING,,179.47019140530054,2.8948350114679267,2.7982438851174973,-2.186581918477657,STABLE,
44,1.468,,STANDING,,179.4353113522083,2.8654372677774496,2.7920087451783178,-1.0464015927675518,STABLE,
45,1.501,,STANDING,,179.35230600341168,2.817750827267051,2.7866991343839245,-2.490160463898121,STABLE,
46,1.534,,STANDING,,179.29118901178637,2.779239187149769,2.792347739963742,-1.8335097487593544,STABLE,
47,1.568,,STANDING,,179.19458812558037,2.726705505710196,2.799860040782091,-2.8980265861801513,STABLE,
48,1.601,,STANDING,,179.10930408591784,2.6919844632435077,2.8229491263997866,-2.558521189875762,STABLE,
49,1.634,,STANDING,,178.99112577477658,2.648313102688721,2.844682132620864,-3.545349334237926,STABLE,
50,1.668,,STANDING,,178.95729768267984,2.6245480981446367,2.8587209290321485,-1.0148427629022194,STABLE,
51,1.701,,STANDING,,178.91948823761632,2.6099481747255058,2.876997876655381,-1.1342833519054807,STABLE,
52,1.735,,STANDING,,178.88834751284148,2.5918636978635616,2.8954356115599653,-0.9342217432453026,STABLE,
53,1.768,,STANDING,,178.88988617176102,2.60934316619755,2.94507514860506,0.046159767586289036,BOTTOM,
54,1.801,,STANDING,,178.90932744771578,2.627412915258146,2.991286901720997,0.5832382786428525,STABLE,
55,1.835,,STANDING,,178.94037938044474,2.656255369846816,3.044655949465023,0.931557981868707,STABLE,
56,1.868,,STANDING,,178.99724397933645,2.683386272999755,3.0918543916829484,1.7059379667512076,STABLE,
57,1.901,,STANDING,,178.98560157719584,2.7032538336785934,3.141004687392646,-0.34927206421826895,STABLE,
58,1.935,,STANDING,,178.9443001521117,2.71665268126027,3.1910430885820302,-1.2390427525238579,STABLE,
59,1.968,,STANDING,,178.8131901915318,2.705261001471136,3.246886529462905,-3.933298817397599,STABLE,
60,2.002,,STANDING,,178.67554674762513,2.6869046333435307,3.3012664172068305,-4.1293033171996285,STABLE,
61,2.035,,STANDING,,178.51112785504876,2.665926909561964,3.354200084018978,-4.932566777291356,STABLE,
62,2.068,,STANDING,,178.4642393106192,2.668694371362762,3.402501697268869,-1.4066563328864845,STABLE,
63,2.102,,STANDING,,178.45497601515146,2.6950564072411725,3.4574823541085564,-0.2778988640324087,STABLE,
64,2.135,,STANDING,,178.51990257065626,2.73574604951238,3.498947085986989,1.947796665143926,BOTTOM,
65,2.168,,STANDING,,178.59615201210946,2.790795814669392,3.5402183497699427,2.287483243596,STABLE,
